# EScan - 02/02/2014 - 17:48:24 
# Motor  = I10-C-C02/OP/MONO1
# Normalized value
# I10-C-C00/CA/BAI.1144-PCI.1H-CPT.1
# I10-C-C03/DT/XBPM_DIODE.2
# Counts on the fluorescence detector: all channels# Counts on the fluorescence detector: channels up to end of ROI  1.2608e+01  6.5100e-03  1.4600e+02  4.1114e-01  2.4498e+04  8.1700e+02  2.2427e+04
  1.2654e+01  5.4860e-03  1.2000e+02  5.1045e-01  2.4065e+04  7.9100e+02  2.1874e+04
  1.2655e+01  4.6331e-03  1.0000e+02  5.0631e-01  2.3791e+04  8.0500e+02  2.1584e+04
  1.2656e+01  5.1478e-03  1.0500e+02  5.0196e-01  2.2358e+04  6.8700e+02  2.0397e+04
  1.2657e+01  5.9291e-03  1.2000e+02  4.9695e-01  2.2288e+04  7.4600e+02  2.0239e+04
  1.2658e+01  4.6735e-03  1.0400e+02  4.9164e-01  2.4440e+04  7.4900e+02  2.2253e+04
  1.2659e+01  6.0626e-03  1.2600e+02  4.8633e-01  2.2851e+04  7.7800e+02  2.0783e+04
  1.2660e+01  6.3309e-03  1.3100e+02  4.8122e-01  2.2816e+04  7.5600e+02  2.0692e+04
  1.2661e+01  7.3930e-03  1.6000e+02  4.7510e-01  2.3902e+04  8.3800e+02  2.1642e+04
  1.2662e+01  9.2352e-03  1.9900e+02  4.6820e-01  2.3859e+04  8.7100e+02  2.1548e+04
  1.2663e+01  1.1388e-02  2.5200e+02  4.6176e-01  2.4511e+04  9.6400e+02  2.2128e+04
  1.2664e+01  9.9152e-03  2.2100e+02  4.5538e-01  2.4780e+04  9.4400e+02  2.2289e+04
  1.2665e+01  9.5565e-03  2.1700e+02  4.4805e-01  2.5063e+04  9.0600e+02  2.2707e+04
  1.2666e+01  1.0247e-02  2.2900e+02  4.4041e-01  2.4598e+04  8.6700e+02  2.2347e+04
  1.2667e+01  8.5614e-03  1.7800e+02  4.3248e-01  2.2832e+04  7.4100e+02  2.0791e+04
  1.2668e+01  8.6203e-03  1.8100e+02  4.2480e-01  2.3158e+04  8.3200e+02  2.0997e+04
  1.2669e+01  9.1629e-03  1.9200e+02  4.1733e-01  2.3158e+04  9.1900e+02  2.0954e+04
  1.2670e+01  8.3934e-03  1.7700e+02  4.0957e-01  2.3179e+04  8.0300e+02  2.1088e+04
  1.2671e+01  8.8135e-03  1.8800e+02  4.0099e-01  2.3457e+04  8.3800e+02  2.1331e+04
  1.2672e+01  9.0901e-03  2.0400e+02  3.9237e-01  2.4594e+04  8.8300e+02  2.2442e+04
  1.2673e+01  7.7192e-03  1.7000e+02  3.8423e-01  2.4046e+04  7.9100e+02  2.2023e+04
  1.2674e+01  8.3883e-03  1.7800e+02  3.7592e-01  2.3288e+04  8.9900e+02  2.1220e+04
  1.2675e+01  8.4015e-03  1.8600e+02  3.6710e-01  2.4283e+04  8.6900e+02  2.2139e+04
  1.2676e+01  8.8059e-03  1.9800e+02  3.5792e-01  2.4673e+04  9.3700e+02  2.2485e+04
  1.2677e+01  8.5969e-03  1.8100e+02  3.4971e-01  2.3047e+04  8.5300e+02  2.1054e+04
  1.2678e+01  6.5905e-03  1.5400e+02  3.4088e-01  2.5380e+04  8.1600e+02  2.3367e+04
  1.2679e+01  8.2342e-03  1.8900e+02  3.3179e-01  2.5026e+04  9.1000e+02  2.2953e+04
  1.2680e+01  7.0168e-03  1.6500e+02  3.2225e-01  2.5530e+04  8.3200e+02  2.3515e+04
  1.2681e+01  9.5880e-03  2.0900e+02  3.1296e-01  2.3786e+04  9.4000e+02  2.1798e+04
  1.2682e+01  7.2450e-03  1.5500e+02  3.0413e-01  2.3262e+04  7.6500e+02  2.1394e+04
  1.2683e+01  7.8727e-03  1.8200e+02  2.9548e-01  2.5039e+04  8.7800e+02  2.3118e+04
  1.2684e+01  7.2067e-03  1.6200e+02  2.8675e-01  2.4413e+04  8.3400e+02  2.2479e+04
  1.2685e+01  7.9237e-03  1.8200e+02  2.7791e-01  2.4867e+04  8.4100e+02  2.2969e+04
  1.2686e+01  7.3869e-03  1.6800e+02  2.6903e-01  2.4640e+04  8.3300e+02  2.2743e+04
  1.2687e+01  7.5533e-03  1.7100e+02  2.6076e-01  2.4608e+04  9.6300e+02  2.2639e+04
  1.2688e+01  7.1640e-03  1.6000e+02  2.5265e-01  2.4101e+04  7.8900e+02  2.2334e+04
  1.2689e+01  7.0101e-03  1.5500e+02  2.4398e-01  2.3903e+04  8.0400e+02  2.2111e+04
  1.2690e+01  7.1186e-03  1.5500e+02  2.3521e-01  2.3463e+04  7.8600e+02  2.1774e+04
  1.2691e+01  6.9733e-03  1.5100e+02  2.2709e-01  2.3369e+04  8.1100e+02  2.1654e+04
  1.2692e+01  6.8350e-03  1.4400e+02  2.1966e-01  2.2737e+04  7.8800e+02  2.1068e+04
  1.2693e+01  8.1466e-03  1.7200e+02  2.1313e-01  2.2867e+04  8.6000e+02  2.1113e+04
  1.2694e+01  6.3884e-03  1.3500e+02  2.0520e-01  2.2772e+04  7.4100e+02  2.1132e+04
  1.2695e+01  7.7986e-03  1.6200e+02  1.9729e-01  2.2442e+04  7.7500e+02  2.0773e+04
  1.2696e+01  6.8560e-03  1.3400e+02  1.8970e-01  2.0986e+04  7.0400e+02  1.9545e+04
  1.2697e+01  8.4355e-03  1.6300e+02  1.8315e-01  2.0816e+04  7.2600e+02  1.9323e+04
  1.2698e+01  7.1338e-03  1.3000e+02  1.7627e-01  1.9622e+04  6.7200e+02  1.8223e+04
  1.2699e+01  7.0353e-03  1.2900e+02  1.6958e-01  1.9881e+04  8.0000e+02  1.8336e+04
  1.2700e+01  8.1504e-03  1.4700e+02  1.6272e-01  1.9354e+04  6.5600e+02  1.8036e+04
  1.2701e+01  7.4542e-03  1.3100e+02  1.5679e-01  1.8790e+04  6.0100e+02  1.7574e+04
  1.2702e+01  7.3301e-03  1.2500e+02  1.5067e-01  1.8240e+04  5.9000e+02  1.7053e+04
  1.2703e+01  7.5831e-03  1.2600e+02  1.4471e-01  1.7823e+04  5.8400e+02  1.6616e+04
  1.2704e+01  7.4347e-03  1.2500e+02  1.3876e-01  1.7932e+04  5.8300e+02  1.6813e+04
  1.2705e+01  7.7267e-03  1.2600e+02  1.3312e-01  1.7416e+04  5.7700e+02  1.6307e+04
  1.2706e+01  8.3204e-03  1.3900e+02  1.2808e-01  1.7989e+04  6.9100e+02  1.6706e+04
  1.2707e+01  8.2826e-03  1.3600e+02  1.2302e-01  1.7521e+04  5.9100e+02  1.6420e+04
  1.2708e+01  7.9415e-03  1.2600e+02  1.1783e-01  1.6955e+04  5.7600e+02  1.5866e+04
# Duration = 101.80 sec
